[550, 335]
[550, 339]
[58, 113]
[530, 312]
[58, 113]
[507, 305]
[58, 113]
[58, 113]
[58, 113]
[58, 113]
[58, 113]
[58, 113]
[58, 113]
[58, 113]
[58, 113]
[58, 113]
[500, 199]
[505, 209]
[515, 231]
[515, 231]
[515, 231]
[515, 231]
[515, 231]
[515, 231]
[515, 231]
[515, 231]
[515, 231]
[515, 231]
[203, 91]
[203, 91]
[166, 99]
[149, 108]
[138, 126]
[139, 133]
[142, 175]
[144, 205]
[144, 205]
[144, 205]
[144, 205]
[144, 205]
[157, 291]
[157, 291]
[199, 86]
[186, 93]
[163, 113]
[146, 131]
[133, 163]
[133, 188]
[132, 218]
[132, 218]
[132, 218]
[132, 218]
[132, 218]
[132, 218]
[132, 218]
[132, 218]
[187, 112]
[182, 108]
[164, 129]
[158, 136]
[150, 177]
[149, 202]
[325, 238]
[325, 238]
[325, 238]
[325, 238]
[325, 238]
[325, 238]
[325, 238]
[173, 190]
[173, 190]
[183, 136]
[183, 136]
[170, 153]
[170, 153]
[167, 195]
[172, 189]
[173, 189]
[179, 199]
[182, 208]
[184, 214]
[184, 214]
[184, 214]
[184, 214]
[184, 214]
[184, 214]
[184, 214]
[184, 214]
[184, 214]
[184, 214]
[527, 211]
[527, 211]
[527, 211]
[377, 117]
[342, 119]
[320, 132]
[254, 216]
[254, 216]
[230, 198]
[222, 194]
[222, 194]
[182, 188]
[148, 198]
[130, 210]
[141, 216]
[141, 216]
[141, 216]
[141, 216]
[176, 195]
[176, 195]
[176, 195]
[177, 159]
[170, 178]
[170, 178]
[157, 195]
[147, 197]
[145, 207]
[144, 218]
[195, 228]
[219, 117]
[255, 69]
[255, 69]
[255, 69]
[255, 69]
[255, 69]
[255, 69]
[255, 69]
[436, 18]
[472, 46]
[498, 70]
[538, 119]
[547, 151]
[525, 202]
[519, 221]
[519, 221]
[519, 221]
[454, 310]
[441, 297]
[426, 289]
[426, 289]
[419, 114]
[430, 122]
[430, 122]
[430, 122]
[430, 122]
[430, 122]
[430, 122]
[430, 122]
[553, 256]
[553, 256]
[563, 289]
[563, 299]
[520, 176]
[498, 109]
[473, 40]
[478, 34]
[386, 218]
[498, 38]
[511, 52]
[521, 66]
[536, 101]
[548, 130]
[566, 188]
[573, 212]
[573, 212]
[573, 212]
[573, 212]
[586, 338]
[575, 309]
[567, 297]
[556, 288]
[549, 287]
[546, 288]
[546, 288]
[372, 126]
[417, 201]
[401, 204]
[396, 210]
[396, 210]
[396, 210]
[396, 210]
[396, 210]
[396, 210]
[396, 210]
[396, 210]
[396, 210]
[396, 210]
[396, 210]
[396, 210]
[463, 269]
[437, 285]
[437, 285]
[437, 285]
[437, 285]
[489, 159]
[508, 182]
[507, 201]
[507, 201]
[507, 201]
[507, 201]
[507, 201]
[507, 201]
[465, 268]
[465, 268]
[465, 268]
[465, 268]
[465, 268]
[465, 268]
[465, 268]
[465, 268]
[465, 268]
[491, 191]
[500, 206]
[503, 213]
[499, 186]
[493, 163]
[493, 163]
[479, 128]
[471, 119]
[471, 123]
[58, 113]
[58, 113]
[58, 113]
[58, 113]
[491, 179]
[495, 179]
[500, 185]
[504, 194]
[58, 113]
[58, 113]
[418, 125]
[407, 128]
[58, 113]
[58, 113]
[58, 113]
[58, 113]
[58, 113]
[273, 112]
[258, 103]
[247, 115]
[58, 113]
[58, 113]
[194, 208]
[194, 208]
[194, 208]
[194, 208]
[114, 319]
[58, 113]
[81, 335]
[84, 318]
[90, 303]
[93, 299]
[100, 302]
[104, 310]
[58, 113]
[58, 113]
[58, 113]
[58, 113]
[58, 113]
[58, 113]
[170, 280]
[170, 280]
[58, 113]
[58, 113]
[58, 113]
[58, 113]
[58, 113]
[58, 113]
[589, 319]
[580, 319]
[570, 322]
[570, 322]
[570, 322]
[483, 111]
[482, 100]
[487, 107]
[496, 125]
[499, 133]
[512, 179]
[518, 211]
[518, 211]
[518, 211]
[351, 103]
[333, 112]
[314, 123]
[314, 123]
[501, 293]
[501, 293]
[501, 293]
[501, 293]
[501, 293]
[94, 294]
[59, 302]
[64, 306]
[72, 322]
[79, 339]
[79, 339]
[129, 336]
[129, 336]
[167, 352]
[167, 352]
[320, 126]
[340, 127]
[340, 127]
[340, 127]
[340, 127]
[402, 210]
[444, 286]
[458, 286]
[458, 286]
[353, 100]
[353, 100]
[353, 100]
[353, 100]
[228, 103]
[199, 120]
[199, 120]
[113, 191]
[62, 254]
[76, 293]
[84, 316]
[84, 316]
[84, 316]
[84, 316]
[216, 308]
[231, 296]
[254, 288]
[254, 288]
[254, 288]
[254, 288]
[239, 122]
[222, 129]
[222, 129]
[222, 129]
[137, 203]
[124, 217]
[124, 217]
[124, 217]
[161, 285]
[172, 285]
[184, 289]
[184, 289]
[213, 101]
[206, 98]
[188, 112]
[175, 127]
[153, 159]
[138, 186]
[111, 241]
[94, 287]
[91, 322]
[93, 317]
[98, 318]
[102, 324]
[102, 324]
[102, 324]
[134, 350]
[134, 350]
[134, 350]
[134, 350]
[238, 227]
[243, 218]
[280, 114]
[280, 114]
[344, 117]
[355, 124]
[355, 124]
[355, 124]
[457, 209]
[457, 209]
[510, 191]
[508, 188]
[494, 187]
[489, 189]
[469, 206]
[463, 213]
[463, 213]
[346, 109]
[319, 124]
[319, 124]
[319, 124]
[235, 201]
[221, 217]
[221, 217]
[221, 217]
[221, 217]
[57, 325]
[34, 337]
[55, 321]
[76, 309]
[86, 305]
[86, 305]
[154, 312]
[172, 323]
[172, 323]
[172, 323]
[204, 124]
[204, 124]
[166, 165]
[151, 189]
[135, 218]
[117, 255]
[102, 299]
[105, 301]
[110, 312]
[112, 319]
[112, 319]
[112, 319]
[283, 57]
[283, 57]
[238, 254]
[238, 254]
[349, 106]
[366, 130]
[366, 130]
[413, 127]
[431, 123]
[431, 123]
[431, 123]
[431, 123]
[512, 206]
[518, 204]
[516, 206]
[514, 212]
[512, 216]
[512, 216]
[512, 216]
[512, 216]
[512, 216]
[320, 131]
[320, 131]
[320, 131]
[320, 131]
[320, 131]
[320, 131]
[105, 303]
[105, 303]
[105, 303]
[163, 322]
[163, 322]
[163, 322]
[209, 89]
[194, 93]
[183, 101]
